Window,CSU,Plant_background,Treatment,Block,Collar,Flux
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,2,GB×CH:DCD:B2,178.9
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,3,GB×CH:DCD:B3,216.3
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,1,GB×CH:Biochar:B1,178.4
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,2,GB×CH:Biochar:B2,219.5
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,3,GB×CH:Biochar:B3,186.2
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,1,SJ×JN:CK:B1,97.2
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,2,SJ×JN:CK:B2,73.8
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,3,SJ×JN:CK:B3,103.5
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,1,SJ×JN:DCD:B1,67.9
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,2,SJ×JN:DCD:B2,73.7
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,3,SJ×JN:DCD:B3,64.2
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,1,SJ×JN:Biochar:B1,78.7
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,2,SJ×JN:Biochar:B2,55.3
July,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,3,SJ×JN:Biochar:B3,67.0
July,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,1,OF×RC:CK:B1,36.5
July,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,2,OF×RC:CK:B2,47.6
July,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,3,OF×RC:CK:B3,38.5
July,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,1,OF×RC:DCD:B1,28.6
July,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,2,OF×RC:DCD:B2,21.9
July,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,3,OF×RC:DCD:B3,31.9
July,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,1,OF×RC:Biochar:B1,27.6
July,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,2,OF×RC:Biochar:B2,31.5
July,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,3,OF×RC:Biochar:B3,26.1
July,AR×ND,Acer palmatum × Nandina domestica,CK,1,AR×ND:CK:B1,340.5
July,AR×ND,Acer palmatum × Nandina domestica,CK,2,AR×ND:CK:B2,250.3
July,AR×ND,Acer palmatum × Nandina domestica,CK,3,AR×ND:CK:B3,302.6
July,AR×ND,Acer palmatum × Nandina domestica,DCD,1,AR×ND:DCD:B1,236.6
July,AR×ND,Acer palmatum × Nandina domestica,DCD,2,AR×ND:DCD:B2,291.2
July,AR×ND,Acer palmatum × Nandina domestica,DCD,3,AR×ND:DCD:B3,247.0
July,AR×ND,Acer palmatum × Nandina domestica,Biochar,1,AR×ND:Biochar:B1,266.8
July,AR×ND,Acer palmatum × Nandina domestica,Biochar,2,AR×ND:Biochar:B2,202.5
July,AR×ND,Acer palmatum × Nandina domestica,Biochar,3,AR×ND:Biochar:B3,284.1
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,1,GYL×EF:CK:B1,158.1
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,2,GYL×EF:CK:B2,171.7
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,3,GYL×EF:CK:B3,149.6
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,1,GYL×EF:DCD:B1,170.6
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,2,GYL×EF:DCD:B2,119.9
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,3,GYL×EF:DCD:B3,145.2
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,1,GYL×EF:Biochar:B1,114.8
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,2,GYL×EF:Biochar:B2,149.6
July,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,3,GYL×EF:Biochar:B3,121.3
July,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,1,GYL×ND:CK:B1,129.3
July,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,2,GYL×ND:CK:B2,98.8
July,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,3,GYL×ND:CK:B3,144.0
July,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,1,GYL×ND:DCD:B1,92.9
July,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,2,GYL×ND:DCD:B2,106.1
July,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,3,GYL×ND:DCD:B3,87.9
July,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,1,GYL×ND:Biochar:B1,110.0
July,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,2,GYL×ND:Biochar:B2,80.8
July,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,3,GYL×ND:Biochar:B3,97.8
October,Lawn,Managed lawn (turf species not recorded),CK,1,Lawn:CK:B1,61.9
October,Lawn,Managed lawn (turf species not recorded),CK,2,Lawn:CK:B2,76.2
October,Lawn,Managed lawn (turf species not recorded),CK,3,Lawn:CK:B3,64.6
October,Lawn,Managed lawn (turf species not recorded),DCD,1,Lawn:DCD:B1,63.7
October,Lawn,Managed lawn (turf species not recorded),DCD,2,Lawn:DCD:B2,48.4
October,Lawn,Managed lawn (turf species not recorded),DCD,3,Lawn:DCD:B3,67.9
October,Lawn,Managed lawn (turf species not recorded),Biochar,1,Lawn:Biochar:B1,47.4
October,Lawn,Managed lawn (turf species not recorded),Biochar,2,Lawn:Biochar:B2,51.5
October,Lawn,Managed lawn (turf species not recorded),Biochar,3,Lawn:Biochar:B3,44.9
October,PB,Pinus bungeana,CK,1,PB:CK:B1,69.0
October,PB,Pinus bungeana,CK,2,PB:CK:B2,48.5
October,PB,Pinus bungeana,CK,3,PB:CK:B3,58.7
October,PB,Pinus bungeana,DCD,1,PB:DCD:B1,49.0
October,PB,Pinus bungeana,DCD,2,PB:DCD:B2,63.8
October,PB,Pinus bungeana,DCD,3,PB:DCD:B3,51.7
October,PB,Pinus bungeana,Biochar,1,PB:Biochar:B1,56.2
October,PB,Pinus bungeana,Biochar,2,PB:Biochar:B2,42.9
October,PB,Pinus bungeana,Biochar,3,PB:Biochar:B3,62.5
October,PG,Phyllostachys glauca,CK,1,PG:CK:B1,47.8
October,PG,Phyllostachys glauca,CK,2,PG:CK:B2,54.6
October,PG,Phyllostachys glauca,CK,3,PG:CK:B3,45.2
October,PG,Phyllostachys glauca,DCD,1,PG:DCD:B1,55.0
October,PG,Phyllostachys glauca,DCD,2,PG:DCD:B2,40.4
October,PG,Phyllostachys glauca,DCD,3,PG:DCD:B3,48.9
October,PG,Phyllostachys glauca,Biochar,1,PG:Biochar:B1,41.0
October,PG,Phyllostachys glauca,Biochar,2,PG:Biochar:B2,50.4
October,PG,Phyllostachys glauca,Biochar,3,PG:Biochar:B3,42.8
October,SJ,Styphnolobium japonicum,CK,1,SJ:CK:B1,67.0
October,SJ,Styphnolobium japonicum,CK,2,SJ:CK:B2,50.8
October,SJ,Styphnolobium japonicum,CK,3,SJ:CK:B3,71.3
October,SJ,Styphnolobium japonicum,DCD,1,SJ:DCD:B1,51.2
October,SJ,Styphnolobium japonicum,DCD,2,SJ:DCD:B2,55.6
October,SJ,Styphnolobium japonicum,DCD,3,SJ:DCD:B3,48.4
October,SJ,Styphnolobium japonicum,Biochar,1,SJ:Biochar:B1,64.1
October,SJ,Styphnolobium japonicum,Biochar,2,SJ:Biochar:B2,45.1
October,SJ,Styphnolobium japonicum,Biochar,3,SJ:Biochar:B3,54.6
October,NZE,Ligustrum lucidum × Iris tectorum,CK,1,NZE:CK:B1,28.5
October,NZE,Ligustrum lucidum × Iris tectorum,CK,2,NZE:CK:B2,37.1
October,NZE,Ligustrum lucidum × Iris tectorum,CK,3,NZE:CK:B3,30.1
October,NZE,Ligustrum lucidum × Iris tectorum,DCD,1,NZE:DCD:B1,29.7
October,NZE,Ligustrum lucidum × Iris tectorum,DCD,2,NZE:DCD:B2,22.7
October,NZE,Ligustrum lucidum × Iris tectorum,DCD,3,NZE:DCD:B3,33.0
October,NZE,Ligustrum lucidum × Iris tectorum,Biochar,1,NZE:Biochar:B1,23.9
October,NZE,Ligustrum lucidum × Iris tectorum,Biochar,2,NZE:Biochar:B2,27.3
October,NZE,Ligustrum lucidum × Iris tectorum,Biochar,3,NZE:Biochar:B3,22.6
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,1,GB×CH:CK:B1,38.6
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,2,GB×CH:CK:B2,28.4
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,3,GB×CH:CK:B3,34.3
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,1,GB×CH:DCD:B1,27.3
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,2,GB×CH:DCD:B2,33.6
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,3,GB×CH:DCD:B3,28.5
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,1,GB×CH:Biochar:B1,30.2
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,2,GB×CH:Biochar:B2,23.0
October,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,3,GB×CH:Biochar:B3,32.2
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,1,SJ×JN:CK:B1,37.2
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,2,SJ×JN:CK:B2,40.4
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,CK,3,SJ×JN:CK:B3,35.2
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,1,SJ×JN:DCD:B1,42.4
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,2,SJ×JN:DCD:B2,29.8
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,3,SJ×JN:DCD:B3,36.1
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,1,SJ×JN:Biochar:B1,29.4
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,2,SJ×JN:Biochar:B2,38.3
October,SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,3,SJ×JN:Biochar:B3,31.0
October,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,1,OF×RC:CK:B1,47.7
October,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,2,OF×RC:CK:B2,36.5
October,OF×RC,Osmanthus fragrans × Rosa chinensis,CK,3,OF×RC:CK:B3,53.1
October,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,1,OF×RC:DCD:B1,30.4
October,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,2,OF×RC:DCD:B2,34.7
October,OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,3,OF×RC:DCD:B3,28.7
October,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,1,OF×RC:Biochar:B1,41.0
October,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,2,OF×RC:Biochar:B2,30.1
October,OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,3,OF×RC:Biochar:B3,36.4
October,AR×ND,Acer palmatum × Nandina domestica,CK,1,AR×ND:CK:B1,40.0
October,AR×ND,Acer palmatum × Nandina domestica,CK,2,AR×ND:CK:B2,49.3
October,AR×ND,Acer palmatum × Nandina domestica,CK,3,AR×ND:CK:B3,41.8
October,AR×ND,Acer palmatum × Nandina domestica,DCD,1,AR×ND:DCD:B1,42.1
October,AR×ND,Acer palmatum × Nandina domestica,DCD,2,AR×ND:DCD:B2,32.0
October,AR×ND,Acer palmatum × Nandina domestica,DCD,3,AR×ND:DCD:B3,44.9
October,AR×ND,Acer palmatum × Nandina domestica,Biochar,1,AR×ND:Biochar:B1,35.3
October,AR×ND,Acer palmatum × Nandina domestica,Biochar,2,AR×ND:Biochar:B2,38.4
October,AR×ND,Acer palmatum × Nandina domestica,Biochar,3,AR×ND:Biochar:B3,33.4
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,1,GYL×EF:CK:B1,65.3
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,2,GYL×EF:CK:B2,45.9
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,CK,3,GYL×EF:CK:B3,55.6
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,1,GYL×EF:DCD:B1,41.8
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,2,GYL×EF:DCD:B2,54.5
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,3,GYL×EF:DCD:B3,44.2
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,1,GYL×EF:Biochar:B1,47.7
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,2,GYL×EF:Biochar:B2,36.5
October,GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,3,GYL×EF:Biochar:B3,53.1
October,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,1,GYL×ND:CK:B1,34.0
October,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,2,GYL×ND:CK:B2,38.9
October,GYL×ND,Magnolia grandiflora × Nandina domestica,CK,3,GYL×ND:CK:B3,32.2
October,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,1,GYL×ND:DCD:B1,38.6
October,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,2,GYL×ND:DCD:B2,28.4
October,GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,3,GYL×ND:DCD:B3,34.3
October,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,1,GYL×ND:Biochar:B1,28.2
October,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,2,GYL×ND:Biochar:B2,34.7
October,GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,3,GYL×ND:Biochar:B3,29.5
