CSU,Plant_background,Block,BlockID,Window,Treatment,TreatmentFlux,CKFlux,LogRatio
OF×RC,Osmanthus fragrans × Rosa chinensis,3,OF×RC:B3,July,Biochar,26.1,38.5,-0.3887229269650908
OF×RC,Osmanthus fragrans × Rosa chinensis,3,OF×RC:B3,October,DCD,28.7,53.1,-0.6152798054823178
OF×RC,Osmanthus fragrans × Rosa chinensis,3,OF×RC:B3,October,Biochar,36.4,53.1,-0.3776081536051983
PB,Pinus bungeana,1,PB:B1,July,DCD,144.0,113.5,0.23801046265454331
PB,Pinus bungeana,1,PB:B1,July,Biochar,99.7,113.5,-0.1296371599536647
PB,Pinus bungeana,1,PB:B1,October,DCD,49.0,69.0,-0.3422862064866327
PB,Pinus bungeana,1,PB:B1,October,Biochar,56.2,69.0,-0.205189747697614
PB,Pinus bungeana,2,PB:B2,July,DCD,101.2,123.2,-0.19671029424605427
PB,Pinus bungeana,2,PB:B2,July,Biochar,129.9,123.2,0.05295587257713438
PB,Pinus bungeana,2,PB:B2,October,DCD,63.8,48.5,0.27418939240730666
PB,Pinus bungeana,2,PB:B2,October,Biochar,42.9,48.5,-0.12269197200946626
PB,Pinus bungeana,3,PB:B3,July,DCD,122.6,107.4,0.1323668414273466
PB,Pinus bungeana,3,PB:B3,July,Biochar,105.3,107.4,-0.019746762934834558
PB,Pinus bungeana,3,PB:B3,October,DCD,51.7,58.7,-0.1269819453196673
PB,Pinus bungeana,3,PB:B3,October,Biochar,62.5,58.7,0.0627268299083051
PG,Phyllostachys glauca,1,PG:B1,July,DCD,114.1,148.4,-0.26283607386525026
PG,Phyllostachys glauca,1,PG:B1,July,Biochar,136.9,148.4,-0.08066059843887687
PG,Phyllostachys glauca,1,PG:B1,October,DCD,55.0,47.8,0.14030754573506077
PG,Phyllostachys glauca,1,PG:B1,October,Biochar,41.0,47.8,-0.1534535727931024
PG,Phyllostachys glauca,2,PG:B2,July,DCD,130.2,113.4,0.13815033848081698
PG,Phyllostachys glauca,2,PG:B2,July,Biochar,100.6,113.4,-0.11976913362801299
PG,Phyllostachys glauca,2,PG:B2,October,DCD,40.4,54.6,-0.30120409778375506
PG,Phyllostachys glauca,2,PG:B2,October,Biochar,50.4,54.6,-0.0800427076735365
PG,Phyllostachys glauca,3,PG:B3,July,DCD,107.9,165.2,-0.42595198882278856
PG,Phyllostachys glauca,3,PG:B3,July,Biochar,121.7,165.2,-0.3055978610933961
PG,Phyllostachys glauca,3,PG:B3,October,DCD,48.9,45.2,0.0786803096426408
PG,Phyllostachys glauca,3,PG:B3,October,Biochar,42.8,45.2,-0.054558984250434484
SJ,Styphnolobium japonicum,1,SJ:B1,July,DCD,102.6,101.9,0.006845992507989839
SJ,Styphnolobium japonicum,1,SJ:B1,July,Biochar,82.8,101.9,-0.20756387883746527
SJ,Styphnolobium japonicum,1,SJ:B1,October,DCD,51.2,67.0,-0.26895308734550394
SJ,Styphnolobium japonicum,1,SJ:B1,October,Biochar,64.1,67.0,-0.04424825546434177
SJ,Styphnolobium japonicum,2,SJ:B2,July,DCD,77.9,125.4,-0.47608267532211773
SJ,Styphnolobium japonicum,2,SJ:B2,July,Biochar,89.9,125.4,-0.33281068672124564
SJ,Styphnolobium japonicum,2,SJ:B2,October,DCD,55.6,50.8,0.09028684667210053
SJ,Styphnolobium japonicum,2,SJ:B2,October,Biochar,45.1,50.8,-0.11901410807580344
SJ,Styphnolobium japonicum,3,SJ:B3,July,DCD,109.3,106.4,0.026890818274948818
SJ,Styphnolobium japonicum,3,SJ:B3,July,Biochar,78.3,106.4,-0.30665797391078664
SJ,Styphnolobium japonicum,3,SJ:B3,October,DCD,48.4,71.3,-0.38739651369766426
SJ,Styphnolobium japonicum,3,SJ:B3,October,Biochar,54.6,71.3,-0.26686244466939085
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,1,SJ×JN:B1,July,DCD,67.9,97.2,-0.3587346769017429
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,1,SJ×JN:B1,July,Biochar,78.7,97.2,-0.21112755604303585
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,1,SJ×JN:B1,October,DCD,42.4,37.2,0.1308396009588111
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,1,SJ×JN:B1,October,Biochar,29.4,37.2,-0.23531408693446512
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,2,SJ×JN:B2,July,DCD,73.7,73.8,-0.0013559324111358441
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,2,SJ×JN:B2,July,Biochar,55.3,73.8,-0.2885858230781377
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,2,SJ×JN:B2,October,DCD,29.8,40.4,-0.30432139145574566
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,2,SJ×JN:B2,October,Biochar,38.3,40.4,-0.05337988878050413
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,3,SJ×JN:B3,July,DCD,64.2,103.5,-0.4775684020095082
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,3,SJ×JN:B3,July,Biochar,67.0,103.5,-0.43487899331445773
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,3,SJ×JN:B3,October,DCD,36.1,35.2,0.02524678273478389
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,3,SJ×JN:B3,October,Biochar,31.0,35.2,-0.12705887811890523
